Entry	Entry Name	Gene Names	Protein names	Gene Ontology (biological process)	Gene Ontology (molecular function)	Gene Ontology (cellular component)
P06525	ADH1_ARATH	ADH1 ADH At1g77120 F22K20.19	Alcohol dehydrogenase class-P (AtADH) (EC 1.1.1.1)	cellular response to hypoxia [GO:0071456]; formaldehyde catabolic process [GO:0046294]; positive regulation of cellular response to hypoxia [GO:1900039]; response to abscisic acid [GO:0009737]; response to caffeine [GO:0031000]; response to cold [GO:0009409]; response to estradiol [GO:0032355]; response to flooding [GO:0009413]; response to hydrogen peroxide [GO:0042542]; response to hypoxia [GO:0001666]; response to osmotic stress [GO:0006970]; response to salt stress [GO:0009651]; response to sucrose [GO:0009744]; response to water deprivation [GO:0009414]	alcohol dehydrogenase (NAD+) activity [GO:0004022]; ethanol dehydrogenase (NAD+) activity [GO:0120542]; protein homodimerization activity [GO:0042803]; zinc ion binding [GO:0008270]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; plasma membrane [GO:0005886]
P56778	PSBC_ARATH	psbC CP43 AtCg00280	Photosystem II CP43 reaction center protein (PSII 43 kDa protein) (Protein CP-43)	photosynthetic electron transport in photosystem II [GO:0009772]	chlorophyll binding [GO:0016168]; mRNA binding [GO:0003729]	chloroplast [GO:0009507]; chloroplast stromal thylakoid [GO:0009533]; chloroplast thylakoid [GO:0009534]; chloroplast thylakoid membrane [GO:0009535]; photosystem II [GO:0009523]; photosystem II reaction center [GO:0009539]; plastid [GO:0009536]; plastoglobule [GO:0010287]; thylakoid [GO:0009579]
Q8GWW7	AGUA_ARATH	AIH EMB1873 At5g08170 T22D6.110	Agmatine deiminase (EC 3.5.3.12) (Agmatine iminohydrolase) (Protein EMBRYO DEFECTIVE 1873)	polyamine biosynthetic process [GO:0006596]; putrescine biosynthetic process [GO:0009446]	agmatine deiminase activity [GO:0047632]; protein-arginine deiminase activity [GO:0004668]	endoplasmic reticulum [GO:0005783]; nucleus [GO:0005634]
Q94C95	ATG1A_ARATH	ATG1A At3g61960 F21F14.130	Serine/threonine-protein kinase ATG1a (EC 2.7.11.-) (Autophagy-related protein 1a) (AtAPG1a)	autophagosome assembly [GO:0000045]; autophagy [GO:0006914]; regulation of autophagy [GO:0010506]	ATP binding [GO:0005524]; protein serine/threonine kinase activity [GO:0004674]	autophagosome [GO:0005776]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; membrane [GO:0016020]; nucleus [GO:0005634]; phagophore assembly site [GO:0000407]
Q9C7T7	CEPR2_ARATH	CEPR2 At1g72180 T9N14.3	Receptor protein-tyrosine kinase CEPR2 (EC 2.7.10.1) (Protein C-TERMINALLY ENCODED PEPTIDE RECEPTOR 2)	nitrate import [GO:1902025]; regulation of root development [GO:2000280]; regulation of shoot system development [GO:0048831]; response to mannitol [GO:0010555]; response to nitrate starvation [GO:0090548]; response to osmotic stress [GO:0006970]	ATP binding [GO:0005524]; peptide binding [GO:0042277]; peptide hormone binding [GO:0017046]; peptide receptor activity [GO:0001653]; transmembrane receptor protein tyrosine kinase activity [GO:0004714]	plasma membrane [GO:0005886]
Q9FKM7	IAA33_ARATH	IAA33 At5g57420 MUA2.1	Auxin-responsive protein IAA33 (Indoleacetic acid-induced protein 33)	response to auxin [GO:0009733]	DNA-binding transcription factor activity [GO:0003700]	nucleus [GO:0005634]
Q9LYE3	ASI1_ARATH	ASI1 IBM2 SG1 At5g11470 F15N18_60	Protein ANTI-SILENCING 1 (Protein INCREASE IN BONSAI METHYLATION 2) (Protein SHOOT GROWTH 1)	epigenetic regulation of gene expression [GO:0040029]; gene silencing by siRNA-directed DNA methylation [GO:0080188]; heterochromatin formation [GO:0031507]; transposable element silencing by heterochromatin formation [GO:0141005]	chromatin binding [GO:0003682]; RNA binding [GO:0003723]	nucleus [GO:0005634]; protein-containing complex [GO:0032991]
P92514	COX3_ARATH	COX3 AtMg00730; At2g07687	Cytochrome c oxidase subunit 3 (EC 7.1.1.9) (Cytochrome c oxidase polypeptide III)	mitochondrial electron transport, cytochrome c to oxygen [GO:0006123]	cytochrome-c oxidase activity [GO:0004129]	chloroplast [GO:0009507]; mitochondrial inner membrane [GO:0005743]; mitochondrion [GO:0005739]
P92558	NU1M_ARATH	ND1 NAD1 AtMg00516/AtMg01120/AtMg01275; At2g07785; At2g07786	NADH-ubiquinone oxidoreductase chain 1 (EC 7.1.1.2) (NADH dehydrogenase subunit 1)	aerobic respiration [GO:0009060]	NADH dehydrogenase (ubiquinone) activity [GO:0008137]	chloroplast [GO:0009507]; mitochondrial inner membrane [GO:0005743]; respiratory chain complex I [GO:0045271]
Q7PC84	AB39G_ARATH	ABCG39 PDR11 PDR13 At1g66950 F1O19.3 T4O24.9	ABC transporter G family member 39 (ABC transporter ABCG.39) (AtABCG39) (Pleiotropic drug resistance protein 11)	response to reactive oxygen species [GO:0000302]; xenobiotic transport [GO:0042908]	ABC-type transporter activity [GO:0140359]; ATP binding [GO:0005524]; ATP hydrolysis activity [GO:0016887]	mitochondrion [GO:0005739]; plasma membrane [GO:0005886]
Q9SJX8	MYB14_ARATH	MYB14 At2g31180 F16D14.2	Transcription factor MYB14 (Myb-related protein 14) (AtMYB14) (MYB14At)	positive regulation of DNA-templated transcription [GO:0045893]; response to cold [GO:0009409]; response to freezing [GO:0050826]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	nucleus [GO:0005634]
Q9SZ66	DSC1_ARATH	DSC1 At4g12010 F16J13.80	Disease resistance-like protein DSC1 (EC 3.2.2.6) (Protein DOMINANT SUPPRESSOR OF CAMTA3 NUMBER 1)	defense response to bacterium [GO:0042742]; signal transduction [GO:0007165]	ADP binding [GO:0043531]; NAD+ nucleosidase activity, cyclic ADP-ribose generating [GO:0061809]	
